//IDplayer-IDsala-IDobject-IDconex-IDpuzzle
//IDplayer
//IDsala
//IDobject (1 line per one)
//IDconex
//IDpuzzle
//Example:
//JUGADOR: 01
//SALA: 02
//OBJETO: OB01-Place
//OBJETO: OB02-Place
//CONEXION: 01-Activa
//PUZZLE: P01-Resuelto
JUGADOR: 01
SALA: 01
OBJETO: OB01-02
OBJETO: OB02-05
OBJETO: OB03-07
CONEXION: C01-Bloqueada
CONEXION: C02-Bloqueada
CONEXION: C03-Bloqueada
CONEXION: C04-Activa
CONEXION: C05-Bloqueada
CONEXION: C06-Bloqueada
CONEXION: C07-Bloqueada
CONEXION: C08-Bloqueada
CONEXION: C09-Bloqueada
PUZZLE: P01-Pendiente
PUZZLE: P02-Pendiente
PUZZLE: P03-Pendiente
PUZZLE: P04-Pendiente
PUZZLE: P05-Pendiente
